"1.1.1.1",0.7261904761904762,0.6239503657799361,0.8253968253968254,0.28856601528091813
"1.1.1.2",-0.7261904761904762,0.6239503657799361,-0.8253968253968254,0.28856601528091813
"1.1.1.3",0,0,0.3333333333333333,0
"1.2.1",0.3888888888888889,0.7556372504853024,0.48148148148148145,0.31860463952009727
"1.4",0.008771929824561403,0.6282196235015396,-0.07894736842105263,0.36488838203343404
"1.2.3",0.3103448275862069,0.6487892318009234,0.2988505747126437,0.41379310344827586
"1.2.4",0,0,0.6666666666666666,0
"1.1.2",0.3384615384615385,0.6627895147242466,0.4153846153846154,0.445416425653507
"1.1.3",0.37209302325581395,0.7160374101553791,0.3682170542635659,0.40675519994307185
"1.1.4",0.25925925925925924,0.7978021936495561,0.4074074074074074,0.29162992125969667
"1.1.5",0.4375,0.7473912964438374,0.3958333333333333,0.3378598904213928
"1.1.6",0.5238095238095238,0.5870870479018072,0.31746031746031744,0.2994914645097334
"1.1.7",0.3684210526315789,0.7115976328907608,0.3894736842105263,0.3704040202216603
"1.3",-0.045454545454545456,0.5416534221733175,0.011363636363636364,0.3075188408302241
"1.5",-0.041666666666666664,0.4545296714431547,0.013888888888888888,0.2801977916921113
"1.6",0.03529411764705882,0.6220848972424605,0.023529411764705882,0.3459881568645141
"1.7",0.0625,0.6584783595532961,0.08333333333333333,0.3435921354681384
"1.8",-0.16666666666666666,0.4714045207910317,-0.041666666666666664,0.3090082702956526
